GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MicroCol game classes,org.microcol.model.event,ModelEvent,11,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.model.event,RoundStartedEvent,20,0,0,0,7,0,3,0,3,0
MicroCol game classes,org.microcol.model.event,TurnStartedEvent,20,0,0,0,7,0,3,0,3,0
MicroCol game classes,org.microcol.model.event,GameStartedEvent,8,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.model.event,GameFinishedEvent,8,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.model.event,ShipMovedEvent,44,0,0,0,13,0,5,0,5,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelPresenter.PopUpDemo,30,0,2,0,5,0,2,0,1,0
MicroCol game classes,org.microcol.gui.panelview,Area,106,123,16,0,13,20,15,6,7,6
MicroCol game classes,org.microcol.gui.panelview,WalkAnimator,6,159,2,10,1,31,3,10,1,6
MicroCol game classes,org.microcol.gui.panelview,GamePanelView,943,0,59,0,186,0,76,0,45,0
MicroCol game classes,org.microcol.gui.panelview,ScreenScrolling,59,0,4,0,9,0,6,0,4,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelPresenter.new GameEventListener() {...},14,0,0,0,5,0,3,0,3,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelPresenter.new MouseAdapter() {...},93,0,4,0,18,0,8,0,6,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelPresenter.new KeyAdapter() {...},45,0,4,0,9,0,4,0,2,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelPresenter,532,0,22,0,104,0,29,0,18,0
MicroCol game classes,org.microcol.gui.panelview,GamePanelListener,16,0,0,0,8,0,5,0,5,0
MicroCol game classes,org.microcol.gui.panelview,GoToMode,21,0,2,0,7,0,5,0,4,0
MicroCol game classes,org.microcol,MicroCol,145,0,10,0,49,0,13,0,8,0
MicroCol game classes,org.microcol.ai,SkyNet,190,0,16,0,44,0,15,0,7,0
MicroCol game classes,org.microcol.ai,SkyNet.new ModelListener() {...},20,0,2,0,9,0,7,0,6,0
MicroCol game classes,org.microcol.gui.event,ViewController,25,0,0,0,7,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,ChangeLanguageEvent,15,0,0,0,6,0,3,0,3,0
MicroCol game classes,org.microcol.gui.event,ShowGridController,46,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,VolumeChangedListenerPreferences,12,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,ChangeLanguageListenerPreferences,17,0,0,0,6,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,MoveUnitController,53,0,0,0,18,0,7,0,7,0
MicroCol game classes,org.microcol.gui.event,FocusedTileEvent,48,0,4,0,9,0,6,0,4,0
MicroCol game classes,org.microcol.gui.event,FocusedTileController,44,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,ChangeLanguageController.Priority,50,0,0,0,3,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,GameController,157,0,0,0,26,0,8,0,8,0
MicroCol game classes,org.microcol.gui.event,ChangeLanguageListenerText,18,0,0,0,6,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,TurnStartedController,44,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,StatusBarMessageControllerImpl,44,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,VolumeChangeEvent,9,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,GameEventController,45,0,0,0,16,0,6,0,6,0
MicroCol game classes,org.microcol.gui.event,ChangeLanguageController,79,0,2,0,22,0,6,0,5,0
MicroCol game classes,org.microcol.gui.event,ExitGameEvent,3,0,0,0,1,0,1,0,1,0
MicroCol game classes,org.microcol.gui.event,GameController.new ModelListener() {...},99,0,0,0,17,0,6,0,6,0
MicroCol game classes,org.microcol.gui.event,ShowGridListenerPreferences,12,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,ShowGridEvent,9,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.gui.event,KeyController,44,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,VolumeChangeController,46,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,GameEventListenerImpl,43,0,0,0,12,0,3,0,3,0
MicroCol game classes,org.microcol.gui.event,NextTurnController,44,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.event,NewGameController,45,0,0,0,12,0,4,0,4,0
MicroCol game classes,org.microcol.gui.model,TileOcean,3,0,0,0,1,0,1,0,1,0
MicroCol game classes,org.microcol.gui,AboutDialog,91,0,0,0,17,0,2,0,2,0
MicroCol game classes,org.microcol.gui,AppleMenuListener,16,0,0,0,7,0,3,0,3,0
